seq,road_id,edges,road_no
0,1,[1],28
1,2,"[2, 2]",12
2,3,[3],39
3,4,[4],14
4,5,[5],16
5,6,[6],8
6,7,"[7, 7]",2
7,8,[8],6
8,9,[9],26
9,10,[10],22
10,11,[11],20
11,12,[12],12
12,13,[13],39
13,14,[14],39
14,15,[15],28
15,16,[16],16
16,17,[17],37
17,18,[18],14
18,19,[19],37
19,20,[20],12
20,21,[21],37
21,22,[22],20
22,23,[23],3
23,24,[24],3
24,25,[25],22
25,26,[26],3
26,27,[27],26
27,28,[28],3
28,29,[29],28
29,30,[30],37
30,31,[31],6
31,32,[32],3
32,33,"[33, 33]",2
33,34,[34],3
34,35,[35],16
35,36,[36],41
36,37,[37],8
37,38,[38],14
38,39,[39],41
39,40,[40],12
40,41,[41],41
41,42,[42],28
42,43,[43],41
43,44,[44],16
44,45,[45],23
45,46,[46],14
46,47,[47],23
47,48,[48],12
48,49,[49],23
49,50,[50],28
50,51,[51],23
51,52,[52],16
52,53,[53],25
53,54,[54],14
54,55,[55],25
55,56,[56],12
56,57,[57],25
57,58,"[58, 58]",5
58,59,[59],22
59,60,[60],5
60,61,[61],26
61,62,[62],5
62,63,[63],28
63,64,[64],25
64,65,[65],6
65,66,[66],5
66,67,[67],2
67,68,[68],5
68,69,"[69, 69]",4
69,70,[70],5
70,71,[71],8
71,72,[72],5
72,73,[73],5
73,74,"[74, 74]",18
74,75,[75],16
75,76,[76],5
76,77,[77],14
77,78,[78],5
78,79,[79],12
79,80,[80],5
80,81,[81],28
81,82,[82],5
82,83,[83],16
83,84,[84],21
84,85,[85],14
85,86,[86],21
86,87,[87],12
87,88,[88],21
88,89,[89],28
89,90,[90],21
90,91,[91],16
91,92,[92],19
92,93,[93],14
93,94,[94],19
94,95,[95],22
95,96,[96],1
96,97,[97],1
97,98,[98],26
98,99,[99],1
99,100,[100],12
100,101,[101],19
101,102,[102],1
102,103,[103],2
103,104,[104],1
104,105,[105],1
105,106,[106],28
106,107,[107],19
107,108,[108],1
108,109,[109],8
109,110,[110],16
110,111,[111],35
111,112,[112],14
112,113,[113],35
113,114,[114],12
114,115,[115],35
115,116,[116],2
116,117,"[117, 117]",17
117,118,[118],28
118,119,[119],35
119,120,[120],8
120,121,[121],16
121,122,[122],33
122,123,[123],14
123,124,[124],33
124,125,[125],12
125,126,[126],33
126,127,[127],2
127,128,"[128, 128]",15
128,129,[129],28
129,130,[130],33
130,131,[131],8
131,132,[132],16
132,133,[133],31
133,134,[134],11
134,135,[135],14
135,136,[136],31
136,137,[137],22
137,138,[138],11
138,139,[139],26
139,140,"[140, 140]",11
140,141,[141],12
141,142,[142],31
142,143,[143],10
143,144,[144],11
144,145,[145],2
145,146,[146],11
146,147,[147],28
147,148,[148],31
148,149,[149],8
149,150,[150],16
150,151,[151],29
151,152,[152],14
152,153,[153],29
153,154,[154],26
154,155,"[155, 155]",13
155,156,[156],12
156,157,[157],29
157,158,[158],10
158,159,[159],28
159,160,[160],29
160,161,[161],22
161,162,"[162, 162]",24
162,163,[163],16
163,164,[164],27
164,165,[165],14
165,166,[166],27
166,167,[167],12
167,168,[168],27
168,169,[169],2
169,170,"[170, 170]",9
170,171,[171],28
171,172,[172],27
172,173,[173],8
173,174,[174],16
174,175,[175],43
175,176,[176],14
176,177,[177],43
177,178,[178],7
178,179,"[179, 179]",30
179,180,[180],7
180,181,[181],7
181,182,[182],12
182,183,[183],43
183,184,[184],7
184,185,[185],2
185,186,[186],7
186,187,[187],28
187,188,[188],43
188,189,"[189, 189]",32
189,190,[190],8
190,191,[191],7
191,192,[192],16
192,193,[193],7
