seq,road_id,edges,road_no,partition
0,1,[np.int64(1)],30,0
1,2,[np.int64(2)],28,0
2,3,[np.int64(3)],31,0
3,4,[np.int64(4)],4,0
4,5,[np.int64(5)],10,0
5,6,[np.int64(6)],10,1
6,7,[np.int64(7)],22,1
7,8,[np.int64(8)],26,1
8,9,[np.int64(9)],38,1
9,10,[np.int64(10)],2,1
10,11,[np.int64(11)],42,1
11,12,[np.int64(12)],34,0
12,13,[np.int64(13)],29,0
13,14,[np.int64(14)],27,0
14,15,[np.int64(15)],26,0
15,16,[np.int64(16)],6,0
16,17,[np.int64(17)],1,0
17,18,[np.int64(18)],2,0
18,19,[np.int64(19)],3,0
19,20,[np.int64(20)],32,0
20,21,[np.int64(21)],7,0
21,22,[np.int64(22)],40,1
22,23,[np.int64(23)],37,1
23,24,[np.int64(24)],3,1
24,25,[np.int64(25)],4,1
25,26,[np.int64(26)],1,1
26,27,[np.int64(27)],28,1
27,28,[np.int64(28)],5,1
28,29,[np.int64(29)],12,0
29,30,[np.int64(30)],9,0
30,31,[np.int64(31)],24,1
31,32,[np.int64(32)],7,1
32,33,[np.int64(33)],12,1
33,34,[np.int64(34)],9,1
34,35,[np.int64(35)],8,0
35,36,[np.int64(36)],5,0
36,37,[np.int64(37)],6,1
37,38,[np.int64(38)],24,0
38,39,[np.int64(39)],25,0
39,40,[np.int64(40)],22,0
40,41,[np.int64(41)],23,0
41,42,[np.int64(42)],14,0
42,43,[np.int64(43)],11,0
43,44,[np.int64(44)],38,0
44,45,[np.int64(45)],33,0
45,46,[np.int64(46)],36,0
46,47,[np.int64(47)],21,0
47,48,[np.int64(48)],20,0
48,49,[np.int64(49)],19,0
49,50,[np.int64(50)],16,0
50,51,[np.int64(51)],13,0
51,52,[np.int64(52)],46,1
52,53,[np.int64(53)],41,1
53,54,[np.int64(54)],40,2
54,55,[np.int64(55)],53,0
55,56,[np.int64(56)],52,0
56,57,[np.int64(57)],17,0
57,58,[np.int64(58)],33,1
58,59,[np.int64(59)],36,1
59,60,[np.int64(60)],35,1
60,61,[np.int64(61)],30,1
61,62,[np.int64(62)],25,1
62,63,[np.int64(63)],18,0
63,64,[np.int64(64)],15,0
64,65,[np.int64(65)],20,1
65,66,[np.int64(66)],23,1
66,67,[np.int64(67)],16,1
67,68,[np.int64(68)],15,1
68,69,[np.int64(69)],14,1
69,70,[np.int64(70)],17,1
70,71,[np.int64(71)],8,1
71,72,[np.int64(72)],13,1
72,73,[np.int64(73)],11,1
73,74,[np.int64(74)],48,1
74,75,[np.int64(75)],44,1
75,76,[np.int64(76)],39,1
76,77,[np.int64(77)],38,2
77,78,[np.int64(78)],51,0
78,79,[np.int64(79)],50,0
79,80,[np.int64(80)],55,0
80,81,[np.int64(81)],40,0
81,82,[np.int64(82)],35,0
82,83,[np.int64(83)],12,2
83,84,[np.int64(84)],33,2
84,85,[np.int64(85)],36,2
85,86,[np.int64(86)],49,0
86,87,[np.int64(87)],48,0
87,88,[np.int64(88)],47,0
88,89,[np.int64(89)],42,0
89,90,[np.int64(90)],37,0
90,91,[np.int64(91)],10,2
91,92,[np.int64(92)],7,2
92,93,[np.int64(93)],4,2
93,94,[np.int64(94)],31,2
94,95,[np.int64(95)],34,1
95,96,[np.int64(96)],31,1
96,97,[np.int64(97)],29,1
97,98,[np.int64(98)],32,1
98,99,[np.int64(99)],27,1
99,100,[np.int64(100)],34,2
100,101,[np.int64(101)],45,0
101,102,[np.int64(102)],21,1
102,103,[np.int64(103)],18,1
103,104,[np.int64(104)],19,1
104,105,[np.int64(105)],45,1
105,106,[np.int64(106)],44,0
106,107,[np.int64(107)],39,0
107,108,[np.int64(108)],43,1
108,109,[np.int64(109)],50,1
109,110,[np.int64(110)],6,2
110,111,[np.int64(111)],1,2
111,112,[np.int64(112)],2,2
112,113,[np.int64(113)],3,2
113,114,[np.int64(114)],14,2
114,115,[np.int64(115)],43,0
115,116,[np.int64(116)],52,1
116,117,[np.int64(117)],47,1
117,118,[np.int64(118)],46,0
118,119,[np.int64(119)],41,0
119,120,[np.int64(120)],6,3
120,121,[np.int64(121)],8,2
121,122,[np.int64(122)],5,2
122,123,[np.int64(123)],26,2
123,124,[np.int64(124)],23,2
124,125,[np.int64(125)],24,2
125,126,[np.int64(126)],9,2
126,127,[np.int64(127)],54,1
127,128,[np.int64(128)],49,1
128,129,[np.int64(129)],16,2
129,130,[np.int64(130)],11,2
130,131,[np.int64(131)],2,3
131,132,[np.int64(132)],32,2
132,133,[np.int64(133)],29,2
133,134,[np.int64(134)],19,3
134,135,[np.int64(135)],28,2
135,136,[np.int64(136)],21,2
136,137,[np.int64(137)],26,3
137,138,[np.int64(138)],15,3
138,139,[np.int64(139)],28,3
139,140,[np.int64(140)],17,3
140,141,[np.int64(141)],22,2
141,142,[np.int64(142)],19,2
142,143,[np.int64(143)],18,3
143,144,[np.int64(144)],53,1
144,145,[np.int64(145)],56,1
145,146,[np.int64(146)],51,1
146,147,[np.int64(147)],18,2
147,148,[np.int64(148)],13,2
148,149,[np.int64(149)],4,3
149,150,[np.int64(150)],62,2
150,151,[np.int64(151)],27,2
151,152,[np.int64(152)],30,2
152,153,[np.int64(153)],25,2
153,154,[np.int64(154)],14,3
154,155,[np.int64(155)],9,3
155,156,[np.int64(156)],60,2
156,157,[np.int64(157)],17,2
157,158,[np.int64(158)],16,3
158,159,[np.int64(159)],20,2
159,160,[np.int64(160)],15,2
160,161,[np.int64(161)],30,3
161,162,[np.int64(162)],24,3
162,163,[np.int64(163)],54,2
163,164,[np.int64(164)],49,2
164,165,[np.int64(165)],56,2
165,166,[np.int64(166)],47,2
166,167,[np.int64(167)],58,2
167,168,[np.int64(168)],51,2
168,169,[np.int64(169)],20,3
169,170,[np.int64(170)],11,3
170,171,[np.int64(171)],42,2
171,172,[np.int64(172)],35,2
172,173,[np.int64(173)],8,3
173,174,[np.int64(174)],52,2
174,175,[np.int64(175)],45,2
175,176,[np.int64(176)],50,2
176,177,[np.int64(177)],41,2
177,178,[np.int64(178)],13,3
178,179,[np.int64(179)],22,3
179,180,[np.int64(180)],7,3
180,181,[np.int64(181)],5,3
181,182,[np.int64(182)],48,2
182,183,[np.int64(183)],39,2
183,184,[np.int64(184)],3,3
184,185,[np.int64(185)],12,3
185,186,[np.int64(186)],1,3
186,187,[np.int64(187)],46,2
187,188,[np.int64(188)],37,2
188,189,[np.int64(189)],44,2
189,190,[np.int64(190)],10,3
190,191,[np.int64(191)],53,2
191,192,[np.int64(192)],64,2
192,193,[np.int64(193)],43,2
