seq,road_id,edges,road_no
0,1,[1],202
1,2,[2],158
2,3,[3],141
3,4,[4],160
4,5,[5],152
5,6,[6],38
6,7,[7],8
7,8,[8],102
8,9,[9],100
9,10,[10],88
10,11,[11],74
11,12,[12],156
12,13,[13],139
13,14,[14],183
14,15,[15],154
15,16,[16],150
16,17,[17],131
17,18,[18],166
18,19,[19],133
19,20,[20],164
20,21,[21],135
21,22,[22],72
22,23,[23],65
23,24,[24],71
24,25,[25],86
25,26,[26],79
26,27,[27],98
27,28,[28],83
28,29,[29],162
29,30,[30],137
30,31,[31],14
31,32,[32],7
32,33,[33],2
33,34,[34],5
34,35,[35],60
35,36,[36],143
36,37,[37],68
37,38,[38],172
38,39,[39],145
39,40,[40],170
40,41,[41],147
41,42,[42],168
42,43,[43],149
43,44,[44],58
44,45,[45],51
45,46,[46],62
46,47,[47],151
47,48,[48],176
48,49,[49],153
49,50,[50],174
50,51,[51],155
51,52,[52],56
52,53,[53],53
53,54,[54],46
54,55,[55],55
55,56,[56],42
56,57,[57],157
57,58,[58],63
58,59,[59],76
59,60,[60],61
60,61,[61],90
61,62,[62],15
62,63,[63],110
63,64,[64],159
64,65,[65],12
65,66,[66],13
66,67,[67],4
67,68,[68],9
68,69,[69],10
69,70,[70],11
70,71,[71],64
71,72,[72],35
72,73,[73],37
73,74,[74],70
74,75,[75],48
75,76,[76],39
76,77,[77],44
77,78,[78],41
78,79,[79],40
79,80,[80],43
80,81,[81],108
81,82,[82],91
82,83,[83],50
83,84,[84],47
84,85,[85],54
85,86,[86],49
86,87,[87],148
87,88,[88],127
88,89,[89],146
89,90,[90],129
90,91,[91],52
91,92,[92],45
92,93,[93],144
93,94,[94],121
94,95,[95],78
95,96,[96],69
96,97,[97],77
97,98,[98],92
98,99,[99],81
99,100,[100],142
100,101,[101],123
101,102,[102],3
102,103,[103],6
103,104,[104],1
104,105,[105],59
105,106,[106],140
106,107,[107],125
107,108,[108],57
108,109,[109],66
109,110,[110],112
110,111,[111],113
111,112,[112],138
112,113,[113],115
113,114,[114],136
114,115,[115],117
115,116,[116],16
116,117,[117],33
117,118,[118],134
118,119,[119],119
119,120,[120],36
120,121,[121],114
121,122,[122],105
122,123,[123],132
123,124,[124],107
124,125,[125],130
125,126,[126],109
126,127,[127],18
127,128,[128],31
128,129,[129],128
129,130,[130],111
130,131,[131],34
131,132,[132],116
132,133,[133],99
133,134,[134],67
134,135,[135],126
135,136,[136],101
136,137,[137],80
137,138,[138],75
138,139,[139],94
139,140,[140],27
140,141,[141],124
141,142,[142],103
142,143,[143],30
143,144,[144],25
144,145,[145],20
145,146,[146],23
146,147,[147],200
147,148,[148],181
148,149,[149],28
149,150,[150],118
150,151,[151],95
151,152,[152],122
152,153,[153],97
153,154,[154],96
154,155,[155],29
155,156,[156],198
156,157,[157],177
157,158,[158],32
158,159,[159],196
159,160,[160],179
160,161,[161],82
161,162,[162],84
162,163,[163],120
163,164,[164],93
164,165,[165],194
165,166,[166],171
166,167,[167],192
167,168,[168],173
168,169,[169],22
169,170,[170],21
170,171,[171],190
171,172,[172],175
172,173,[173],26
173,174,[174],180
174,175,[175],163
175,176,[176],188
176,177,[177],165
177,178,[178],161
178,179,[179],178
179,180,[180],73
180,181,[181],89
181,182,[182],186
182,183,[183],167
183,184,[184],19
184,185,[185],24
185,186,[186],17
186,187,[187],184
187,188,[188],169
188,189,[189],182
189,190,[190],106
190,191,[191],85
191,192,[192],104
192,193,[193],87
