seq,road_id,edges,road_no,partition
0,1,[1],8,0
1,2,"[2, 2]",6,0
2,3,[3],7,0
3,4,[4],4,0
4,5,[5],2,0
5,6,[6],12,1
6,7,[7],10,1
7,8,[8],8,1
8,9,[9],6,1
9,10,"[10, 10]",2,1
10,11,[11],4,1
11,12,[12],6,0
12,13,[13],7,0
13,14,[14],7,0
14,15,[15],8,0
15,16,[16],2,0
16,17,"[17, 17]",1,0
17,18,[18],4,0
18,19,[19],1,0
19,20,[20],6,0
20,21,[21],1,0
21,22,[22],4,1
22,23,"[23, 23]",1,1
23,24,[24],1,1
24,25,[25],2,1
25,26,[26],1,1
26,27,[27],6,1
27,28,[28],1,1
28,29,[29],8,0
29,30,[30],1,0
30,31,[31],8,1
31,32,[32],1,1
32,33,[33],10,1
33,34,[34],1,1
34,35,[35],2,0
35,36,[36],3,0
36,37,[37],12,1
37,38,[38],4,0
38,39,[39],3,0
39,40,[40],6,0
40,41,[41],3,0
41,42,[42],8,0
42,43,[43],3,0
43,44,"[44, 44]",18,1
44,45,"[45, 45]",5,0
45,46,"[46, 46]",4,2
46,47,[47],5,0
47,48,[48],6,0
48,49,[49],5,0
49,50,[50],8,0
50,51,[51],5,0
51,52,[52],18,1
52,53,[53],13,1
53,54,[54],4,2
54,55,[55],9,0
55,56,[56],6,0
56,57,[57],9,0
57,58,[58],3,1
58,59,[59],2,1
59,60,[60],3,1
60,61,[61],6,1
61,62,[62],3,1
62,63,[63],8,0
63,64,[64],9,0
64,65,[65],8,1
65,66,[66],3,1
66,67,[67],10,1
67,68,[68],3,1
68,69,"[69, 69]",14,1
69,70,[70],3,1
70,71,[71],12,1
71,72,[72],3,1
72,73,[73],3,1
73,74,"[74, 74]",16,1
74,75,"[75, 75]",2,2
75,76,[76],3,1
76,77,[77],4,2
77,78,[78],11,0
78,79,[79],6,0
79,80,[80],11,0
80,81,[81],8,0
81,82,[82],11,0
82,83,[83],2,2
83,84,"[84, 84]",7,2
84,85,[85],4,2
85,86,"[86, 86]",7,2
86,87,"[87, 87]",6,2
87,88,[88],13,0
88,89,[89],8,0
89,90,[90],13,0
90,91,[91],2,2
91,92,[92],5,2
92,93,[93],4,2
93,94,[94],5,2
94,95,"[95, 95]",10,3
95,96,[96],5,1
96,97,[97],5,1
97,98,"[98, 98]",8,3
98,99,[99],5,1
99,100,[100],6,2
100,101,"[101, 101]",5,2
101,102,[102],5,1
102,103,[103],10,1
103,104,[104],5,1
104,105,[105],5,1
105,106,[106],8,0
106,107,[107],15,0
107,108,[108],5,1
108,109,"[109, 109]",2,3
109,110,[110],2,2
110,111,"[111, 111]",1,2
111,112,[112],4,2
112,113,[113],1,2
113,114,[114],6,2
114,115,"[115, 115]",1,2
115,116,[116],10,1
116,117,[117],9,1
117,118,"[118, 118]",8,2
118,119,[119],17,0
119,120,[120],2,3
120,121,[121],2,2
121,122,"[122, 122]",3,2
122,123,[123],4,2
123,124,[124],3,2
124,125,[125],6,2
125,126,[126],3,2
126,127,[127],10,1
127,128,[128],11,1
128,129,[129],8,2
129,130,[130],3,2
130,131,[131],2,3
131,132,[132],2,2
132,133,"[133, 133]",9,2
133,134,[134],7,3
134,135,[135],4,2
135,136,[136],9,2
136,137,[137],10,3
137,138,[138],7,3
138,139,[139],8,3
139,140,[140],7,3
140,141,[141],6,2
141,142,[142],9,2
142,143,"[143, 143]",6,3
143,144,"[144, 144]",7,3
144,145,"[145, 145]",4,3
145,146,[146],7,1
146,147,[147],8,2
147,148,[148],9,2
148,149,[149],2,3
149,150,[150],2,2
150,151,"[151, 151]",11,2
151,152,[152],4,2
152,153,[153],11,2
153,154,[154],8,3
154,155,"[155, 155]",5,3
155,156,[156],6,2
156,157,[157],11,2
157,158,[158],6,3
158,159,[159],8,2
159,160,[160],11,2
160,161,[161],10,3
161,162,"[162, 162]",14,3
162,163,[163],2,2
163,164,"[164, 164]",13,2
164,165,[165],4,2
165,166,[166],13,2
166,167,[167],6,2
167,168,[168],13,2
168,169,[169],4,3
169,170,"[170, 170]",1,3
170,171,[171],8,2
171,172,[172],13,2
172,173,[173],2,3
173,174,[174],2,2
174,175,[175],15,2
175,176,[176],4,2
176,177,[177],15,2
177,178,[178],3,3
178,179,"[179, 179]",12,3
179,180,[180],3,3
180,181,[181],3,3
181,182,[182],6,2
182,183,[183],15,2
183,184,[184],3,3
184,185,[185],4,3
185,186,[186],3,3
186,187,[187],8,2
187,188,[188],15,2
188,189,"[189, 189]",10,2
189,190,[190],2,3
190,191,"[191, 191]",3,3
191,192,[192],2,2
192,193,[193],17,2
