seq,road_id,edges,road_no
0,1,[1],27
1,2,[2],23
2,3,[3],45
3,4,[4],70
4,5,[5],59
5,6,[6],22
6,7,[7],37
7,8,[8],40
8,9,[],77
9,10,[10],25
10,11,[11],3
11,12,[12],5
12,13,[13],28
13,14,[],78
14,15,[15],34
15,16,[16],42
16,17,[17],33
17,18,[18],62
18,19,[19],31
19,20,[20],48
20,21,[21],16
21,22,[22],72
22,23,[],79
23,24,[24],50
24,25,[25],29
25,26,[26],2
26,27,[27],41
27,28,[28],63
28,29,[29],54
29,30,[30],60
30,31,[31],58
31,32,[32],7
32,33,[33],12
33,34,[34],24
34,35,[],80
35,36,[36],39
36,37,[37],13
37,38,[38],20
38,39,[39],74
39,40,[40],4
40,41,[41],44
41,42,[42],66
42,43,[43],9
43,44,[44],55
44,45,[],81
45,46,[46],14
46,47,[47],64
47,48,[48],26
48,49,[49],11
49,50,[50],17
50,51,[51],47
51,52,[],82
52,53,[53],18
53,54,[],83
54,55,[55],21
55,56,[56],49
56,57,[57],32
57,58,[],84
58,59,[59],46
59,60,[60],6
60,61,[61],51
61,62,[62],35
62,63,[63],15
63,64,[64],57
64,65,[65],52
65,66,[66],36
66,67,[67],56
67,68,[68],67
68,69,[69],68
69,70,[70],65
70,71,[71],10
71,72,[],85
72,73,[],86
73,74,[74],30
74,75,[75],38
75,76,[76],1
76,77,[],87
77,78,[78],19
78,79,[79],61
79,80,[80],8
80,81,[81],53
81,82,[82],43
82,83,[],88
