seq,road_id,edges,road_no
0,1,[1],23
1,2,[2],47
2,3,[3],65
3,4,[4],62
4,5,[5],39
5,6,[6],10
6,7,[7],25
7,8,[8],22
8,9,[9],9
9,10,[10],71
10,11,[11],15
11,12,[12],13
12,13,[13],38
13,14,[14],67
14,15,[15],8
15,16,[16],36
16,17,[],74
17,18,[],75
18,19,[19],45
19,20,[20],44
20,21,[],76
21,22,[22],26
22,23,[23],7
23,24,[24],24
24,25,[25],21
25,26,[26],2
26,27,[27],57
27,28,[28],61
28,29,[29],54
29,30,[30],60
30,31,[31],46
31,32,[],77
32,33,[33],68
33,34,[34],12
34,35,[35],28
35,36,[36],43
36,37,[37],11
37,38,[],78
38,39,[39],30
39,40,[40],70
40,41,[41],58
41,42,[42],64
42,43,[43],17
43,44,[44],63
44,45,[],79
45,46,[],80
46,47,[47],48
47,48,[48],14
48,49,[],81
49,50,[50],69
50,51,[51],29
51,52,[52],66
52,53,[53],56
53,54,[54],37
54,55,[55],5
55,56,[56],27
56,57,[57],20
57,58,[58],19
58,59,[],82
59,60,[60],16
60,61,[61],41
61,62,[62],49
62,63,[63],3
63,64,[64],31
64,65,[65],34
65,66,[66],6
66,67,[67],52
67,68,[68],35
68,69,[69],32
69,70,[70],33
70,71,[],83
71,72,[],84
72,73,[73],50
73,74,[74],40
74,75,[75],42
75,76,[76],1
76,77,[77],18
77,78,[],85
78,79,[79],59
79,80,[80],4
80,81,[81],51
81,82,[82],55
82,83,[83],53
