seq,road_id,edges,road_no,partition
0,1,[1],3,0
1,2,[2],1,1
2,3,"[3, 3]",5,2
3,4,[4],6,3
4,5,[5],1,1
5,6,"[6, 6]",20,0
6,7,[7],3,0
7,8,"[8, 8]",12,0
8,9,"[9, 9]",27,0
9,10,[10],1,1
10,11,"[11, 11]",19,0
11,12,"[12, 12]",23,0
12,13,"[13, 13]",8,1
13,14,[14],13,0
14,15,"[15, 15]",22,0
15,16,"[16, 16]",6,1
16,17,[17],1,1
17,18,[18],8,3
18,19,[19],1,1
19,20,[20],2,2
20,21,[21],10,1
21,22,"[22, 22]",4,3
22,23,[23],21,0
23,24,"[24, 24]",4,0
24,25,"[25, 25]",11,0
25,26,"[26, 26]",14,0
26,27,[27],1,1
27,28,[],0,0
28,29,"[29, 29]",2,1
29,30,"[30, 30]",18,1
30,31,[31],2,2
31,32,[32],17,0
32,33,[33],8,0
33,34,"[34, 34]",18,0
34,35,[35],6,3
35,36,[36],1,1
36,37,[37],21,0
37,38,[38],8,0
38,39,"[39, 39]",14,1
39,40,[40],8,0
40,41,[41],4,1
41,42,"[42, 42]",2,0
42,43,"[43, 43]",9,0
43,44,"[44, 44]",1,2
44,45,"[45, 45]",2,3
45,46,[46],20,0
46,47,[47],2,2
47,48,"[48, 48]",16,0
48,49,"[49, 49]",25,0
49,50,"[50, 50]",15,0
50,51,[51],3,0
51,52,"[52, 52]",10,1
52,53,[53],8,0
53,54,[54],1,1
54,55,[55],21,0
55,56,"[56, 56]",1,0
56,57,"[57, 57]",6,0
57,58,"[58, 58]",5,0
58,59,[59],4,1
59,60,[60],8,0
60,61,[61],1,1
61,62,"[62, 62]",3,2
62,63,[63],21,0
63,64,"[64, 64]",3,3
64,65,"[65, 65]",20,1
65,66,"[66, 66]",24,0
66,67,[67],2,1
67,68,"[68, 68]",1,3
68,69,"[69, 69]",16,1
69,70,[70],3,3
70,71,[71],8,0
71,72,[72],8,3
72,73,[73],12,1
73,74,[74],10,1
74,75,"[75, 75]",2,2
75,76,[76],19,0
76,77,[77],10,0
77,78,"[78, 78]",7,0
78,79,[79],3,1
79,80,[80],14,0
80,81,[81],3,1
81,82,[82],3,1
82,83,[83],3,1
