seq,road_id,edges,road_no
0,1,[1],9
1,2,[2],31
2,3,"[3, 3]",29
3,4,"[4, 4]",36
4,5,[5],31
5,6,"[6, 6]",18
6,7,[7],9
7,8,"[8, 8]",10
8,9,"[9, 9]",25
9,10,[10],31
10,11,[11],1
11,12,"[12, 12]",3
12,13,"[13, 13]",14
13,14,"[14, 14]",15
14,15,"[15, 15]",16
15,16,"[16, 16]",32
16,17,[17],31
17,18,[18],44
18,19,[19],31
19,20,[20],6
20,21,[21],6
21,22,"[22, 22]",38
22,23,[23],23
23,24,"[24, 24]",12
24,25,"[25, 25]",7
25,26,"[26, 26]",4
26,27,[27],31
27,28,"[28, 28]",39
28,29,[29],26
29,30,"[30, 30]",50
30,31,[31],6
31,32,"[32, 32]",21
32,33,[33],2
33,34,"[34, 34]",24
34,35,[35],36
35,36,[36],31
36,37,[37],23
37,38,[38],2
38,39,"[39, 39]",46
39,40,[40],2
40,41,[41],28
41,42,"[42, 42]",40
42,43,"[43, 43]",13
43,44,"[44, 44]",41
44,45,"[45, 45]",34
45,46,[46],18
46,47,[47],6
47,48,"[48, 48]",22
48,49,"[49, 49]",27
49,50,"[50, 50]",19
50,51,[51],9
51,52,[52],6
52,53,"[53, 53]",2
53,54,[54],31
54,55,[55],23
55,56,"[56, 56]",37
56,57,"[57, 57]",8
57,58,"[58, 58]",5
58,59,[59],28
59,60,[60],2
60,61,[61],31
61,62,"[62, 62]",17
62,63,[63],23
63,64,[64],9
64,65,"[65, 65]",30
65,66,"[66, 66]",20
66,67,[67],26
67,68,"[68, 68]",35
68,69,"[69, 69]",48
69,70,[70],9
70,71,[71],2
71,72,[72],44
72,73,"[73, 73]",42
73,74,[74],6
74,75,[75],6
75,76,[76],1
76,77,[77],6
77,78,"[78, 78]",11
78,79,[79],33
79,80,[80],4
80,81,[81],33
81,82,[82],33
82,83,[83],33
