seq,road_id,edges,road_no,partition
0,1,[1],9,0
1,2,[2],11,1
2,3,[3],5,2
3,4,[4],8,3
4,5,[5],23,1
5,6,[6],36,0
6,7,[7],7,0
7,8,[8],18,0
8,9,[9],39,0
9,10,[10],9,1
10,11,[11],25,0
11,12,[12],35,0
12,13,[13],10,1
13,14,[14],19,0
14,15,[15],40,0
15,16,[16],16,1
16,17,[17],3,1
17,18,[18],12,3
18,19,[19],13,1
19,20,[20],6,2
20,21,[21],14,1
21,22,[22],4,3
22,23,[23],41,0
23,24,[24],4,0
24,25,[25],17,0
25,26,[26],26,0
26,27,[27],1,1
27,28,[],0,0
28,29,[29],2,1
29,30,[30],28,1
30,31,[31],2,2
31,32,[32],23,0
32,33,[33],8,0
33,34,[34],32,0
34,35,[35],6,3
35,36,[36],19,1
36,37,[37],33,0
37,38,[38],16,0
38,39,[39],26,1
39,40,[40],20,0
40,41,[41],8,1
41,42,[42],2,0
42,43,[43],15,0
43,44,[44],1,2
44,45,[45],2,3
45,46,[46],34,0
46,47,[47],4,2
47,48,[48],30,0
48,49,[49],37,0
49,50,[50],21,0
50,51,[51],3,0
51,52,[52],14,0
52,53,[53],24,0
53,54,[54],25,1
54,55,[55],31,0
55,56,[56],1,0
56,57,[57],6,0
57,58,[58],11,0
58,59,[59],6,1
59,60,[60],10,0
60,61,[61],21,1
61,62,[62],3,2
62,63,[63],29,0
63,64,[64],5,0
64,65,[65],22,1
65,66,[66],38,0
66,67,[67],4,1
67,68,[68],1,3
68,69,[69],24,1
69,70,[70],3,3
70,71,[71],22,0
71,72,[72],10,3
72,73,[73],18,1
73,74,[74],12,1
74,75,[75],20,1
75,76,[76],27,0
76,77,[77],12,0
77,78,[78],13,0
78,79,[79],17,1
79,80,[80],28,0
80,81,[81],15,1
81,82,[82],7,1
82,83,[83],5,1
