seq,road_id,edges,road_no
0,1,[1],37
1,2,[2],33
2,3,[3],61
3,4,[4],82
4,5,[5],79
5,6,[6],20
6,7,[7],45
7,8,[8],44
8,9,[9],19
9,10,[10],31
10,11,[11],5
11,12,[12],3
12,13,[13],40
13,14,[14],29
14,15,[15],36
15,16,[16],52
16,17,[17],41
17,18,[18],78
18,19,[19],43
19,20,[20],46
20,21,[21],30
21,22,[22],66
22,23,[23],25
23,24,[24],54
24,25,[25],35
25,26,[26],2
26,27,[27],51
27,28,[28],69
28,29,[29],58
29,30,[30],80
30,31,[31],64
31,32,[32],15
32,33,[33],12
33,34,[34],18
34,35,[35],72
35,36,[36],53
36,37,[37],9
37,38,[38],26
38,39,[39],86
39,40,[40],8
40,41,[41],50
41,42,[42],62
42,43,[43],13
43,44,[44],65
44,45,[45],70
45,46,[46],10
46,47,[47],68
47,48,[48],16
48,49,[49],11
49,50,[50],23
50,51,[51],57
51,52,[52],24
52,53,[53],28
53,54,[54],77
54,55,[55],17
55,56,[56],55
56,57,[57],34
57,58,[58],27
58,59,[59],48
59,60,[60],6
60,61,[61],75
61,62,[62],39
62,63,[63],7
63,64,[64],59
64,65,[65],60
65,66,[66],32
66,67,[67],56
67,68,[68],67
68,69,[69],84
69,70,[70],63
70,71,[71],14
71,72,[72],76
72,73,[73],74
73,74,[74],38
74,75,[75],42
75,76,[76],1
76,77,[77],22
77,78,[78],21
78,79,[79],73
79,80,[80],4
80,81,[81],71
81,82,[82],49
82,83,[83],47
