seq,road_id,edges,road_no
0,1,[1],11
1,2,[2],31
2,3,[3],63
3,4,[4],62
4,5,[5],77
5,6,[6],46
6,7,[7],13
7,8,[8],16
8,9,[9],45
9,10,[10],27
10,11,[11],3
11,12,[12],5
12,13,[13],36
13,14,[14],19
14,15,[15],44
15,16,[16],42
16,17,[17],29
17,18,[18],78
18,19,[19],33
19,20,[20],30
20,21,[21],32
21,22,[22],58
22,23,[23],39
23,24,[24],18
24,25,[25],9
25,26,[26],6
26,27,[27],65
27,28,[28],59
28,29,[29],74
29,30,[30],84
30,31,[31],66
31,32,[32],25
32,33,[33],10
33,34,[34],52
34,35,[35],60
35,36,[36],73
36,37,[37],41
37,38,[38],12
38,39,[39],80
39,40,[40],4
40,41,[41],40
41,42,[42],64
42,43,[43],17
43,44,[44],61
44,45,[45],56
45,46,[46],54
46,47,[47],68
47,48,[48],50
48,49,[49],43
49,50,[50],23
50,51,[51],47
51,52,[52],22
52,53,[53],26
53,54,[54],79
54,55,[55],37
55,56,[56],55
56,57,[57],14
57,58,[58],7
58,59,[59],38
59,60,[60],2
60,61,[61],75
61,62,[62],21
62,63,[63],35
63,64,[64],49
64,65,[65],86
65,66,[66],48
66,67,[67],72
67,68,[68],53
68,69,[69],82
69,70,[70],51
70,71,[71],24
71,72,[72],76
72,73,[73],70
73,74,[74],34
74,75,[75],28
75,76,[76],1
76,77,[77],20
77,78,[78],15
78,79,[79],57
79,80,[80],8
80,81,[81],69
81,82,[82],71
82,83,[83],67
