seq,road_id,edges,road_no
0,1,[1],17
1,2,[2],33
2,3,"[3, 3]",31
3,4,"[4, 4]",50
4,5,[5],33
5,6,"[6, 6]",12
6,7,[7],17
7,8,"[8, 8]",20
8,9,"[9, 9]",7
9,10,[10],33
10,11,[11],1
11,12,"[12, 12]",5
12,13,"[13, 13]",24
13,14,"[14, 14]",21
14,15,"[15, 15]",10
15,16,"[16, 16]",38
16,17,[17],33
17,18,[18],48
18,19,[19],33
19,20,[20],18
20,21,[21],18
21,22,"[22, 22]",34
22,23,[23],3
23,24,"[24, 24]",22
24,25,"[25, 25]",23
25,26,"[26, 26]",2
26,27,[27],33
27,28,"[28, 28]",37
28,29,[29],30
29,30,"[30, 30]",42
30,31,[31],18
31,32,"[32, 32]",13
32,33,[33],6
33,34,"[34, 34]",16
34,35,[35],50
35,36,[36],33
36,37,[37],3
37,38,[38],6
38,39,"[39, 39]",46
39,40,[40],6
40,41,[41],28
41,42,"[42, 42]",26
42,43,"[43, 43]",11
43,44,"[44, 44]",35
44,45,"[45, 45]",36
45,46,[46],12
46,47,[47],18
47,48,"[48, 48]",4
48,49,"[49, 49]",9
49,50,"[50, 50]",15
50,51,[51],17
51,52,[52],18
52,53,"[53, 53]",6
53,54,[54],33
54,55,[55],3
55,56,"[56, 56]",29
56,57,"[57, 57]",14
57,58,"[58, 58]",25
58,59,[59],28
59,60,[60],6
60,61,[61],33
61,62,"[62, 62]",27
62,63,[63],3
63,64,[64],17
64,65,"[65, 65]",40
65,66,"[66, 66]",8
66,67,[67],30
67,68,"[68, 68]",41
68,69,"[69, 69]",44
69,70,[70],17
70,71,[71],6
71,72,[72],48
72,73,"[73, 73]",32
73,74,[74],18
74,75,[75],18
75,76,[76],1
76,77,[77],18
77,78,"[78, 78]",19
78,79,[79],39
79,80,[80],2
80,81,[81],39
81,82,[82],39
82,83,[83],39
