seq,road_id,edges,road_no,partition
0,1,[1],9,0
1,2,[2],9,1
2,3,[3],1,2
3,4,[4],8,3
4,5,[5],19,1
5,6,[6],38,0
6,7,[7],7,0
7,8,[8],8,0
8,9,[9],39,0
9,10,[10],7,1
10,11,[11],19,0
11,12,[12],35,0
12,13,[13],12,1
13,14,[14],27,0
14,15,[15],34,0
15,16,[16],18,1
16,17,[17],1,1
17,18,[18],12,3
18,19,[19],13,1
19,20,[20],4,2
20,21,[21],14,1
21,22,[22],4,3
22,23,[23],37,0
23,24,[24],4,0
24,25,[25],11,0
25,26,[26],26,0
26,27,[27],3,1
27,28,[28],7,2
28,29,[29],2,1
29,30,[30],24,1
30,31,[31],2,2
31,32,[32],23,0
32,33,[33],12,0
33,34,[34],40,0
34,35,[35],6,3
35,36,[36],15,1
36,37,[37],31,0
37,38,[38],10,0
38,39,[39],28,1
39,40,[40],16,0
40,41,[41],8,1
41,42,[42],2,0
42,43,[43],17,0
43,44,[44],3,2
44,45,[45],2,3
45,46,[46],36,0
46,47,[47],6,2
47,48,[48],30,0
48,49,[49],41,0
49,50,[50],25,0
50,51,[51],3,0
51,52,[52],24,0
52,53,[53],20,0
53,54,[54],21,1
54,55,[55],33,0
55,56,[56],1,0
56,57,[57],6,0
57,58,[58],13,0
58,59,[59],6,1
59,60,[60],14,0
60,61,[61],17,1
61,62,[62],5,2
62,63,[63],29,0
63,64,[64],5,0
64,65,[65],22,1
65,66,[66],32,0
66,67,[67],4,1
67,68,[68],1,3
68,69,[69],26,1
69,70,[70],3,3
70,71,[71],18,0
71,72,[72],10,3
72,73,[73],10,1
73,74,[74],16,1
74,75,[75],20,1
75,76,[76],21,0
76,77,[77],22,0
77,78,[78],15,0
78,79,[79],25,1
79,80,[80],28,0
80,81,[81],11,1
81,82,[82],23,1
82,83,[83],5,1
