seq,road_id,edges,road_no
0,144,[144.0],114
1,11,[11.0],108
2,340,[340.0],82
3,14,[14.0],124
4,15,[15.0],122
5,16,[16.0],120
6,17,[17.0],64
7,18,[18.0],68
8,19,[19.0],70
9,20,[20.0],72
10,25,[],127
11,26,[26.0],106
12,30,[30.0],121
13,31,[],128
14,32,[32.0],118
15,36,[],129
16,37,[],130
17,38,[38.0],116
18,39,[39.0],2
19,51,[],131
20,52,[52.0],62
21,53,[],132
22,54,[54.0],66
23,55,[55.0],51
24,56,[56.0],45
25,57,[57.0],58
26,59,[59.0],47
27,60,[60.0],49
28,63,[63.0],60
29,68,[68.0],43
30,69,[69.0],56
31,72,[72.0],95
32,73,[73.0],104
33,81,[],133
34,82,[],134
35,85,[],135
36,92,[92.0],113
37,93,[93.0],112
38,97,[97.0],119
39,98,[98.0],117
40,211,[],136
41,99,[99.0],4
42,103,[],137
43,111,[],138
44,112,[112.0],93
45,123,[123.0],54
46,124,[],139
47,125,[125.0],102
48,133,[133.0],111
49,134,[],140
50,138,[138.0],1
51,139,[139.0],6
52,145,[145.0],115
53,146,[],141
54,147,[],142
55,148,[148.0],55
56,149,[],143
57,151,[151.0],53
58,152,[],144
59,153,[],145
60,154,[154.0],100
61,160,[],146
62,161,[161.0],74
63,162,[162.0],109
64,163,[],147
65,165,[165.0],107
66,166,[166.0],8
67,175,[],148
68,178,[178.0],41
69,179,[179.0],52
70,191,[191.0],57
71,192,[],149
72,196,[196.0],39
73,197,[197.0],50
74,200,[200.0],48
75,209,[209.0],91
76,218,[],150
77,219,[219.0],98
78,221,[221.0],105
79,222,[],151
80,232,[232.0],103
81,233,[233.0],10
82,236,[236.0],59
83,237,[237.0],76
84,238,[238.0],63
85,239,[239.0],61
86,240,[],152
87,241,[],153
88,252,[],154
89,253,[253.0],80
90,259,[259.0],37
91,260,[],155
92,268,[268.0],35
93,269,[],156
94,270,[270.0],33
95,271,[271.0],46
96,286,[286.0],78
97,287,[287.0],90
98,290,[290.0],89
99,294,[294.0],31
100,295,[295.0],44
101,298,[],157
102,299,[299.0],96
103,303,[303.0],101
104,304,[],158
105,305,[305.0],29
106,306,[],159
107,309,[309.0],99
108,310,[310.0],12
109,311,[311.0],97
110,312,[],160
111,313,[],161
112,314,[314.0],110
113,317,[],162
114,318,[318.0],88
115,321,[321.0],25
116,322,[322.0],42
117,324,[324.0],27
118,325,[],163
119,330,[],164
120,331,[],165
121,332,[332.0],84
122,338,[338.0],87
123,343,[343.0],23
124,344,[],166
125,346,[346.0],40
126,349,[349.0],85
127,350,[],167
128,351,[351.0],73
129,352,[352.0],92
130,355,[355.0],14
131,361,[361.0],71
132,362,[362.0],3
133,363,[363.0],16
134,369,[369.0],69
135,370,[370.0],18
136,373,[],168
137,374,[],169
138,380,[380.0],21
139,381,[],170
140,385,[385.0],83
141,388,[],171
142,389,[389.0],38
143,390,[390.0],94
144,510,[510.0],28
145,391,[391.0],65
146,422,[422.0],81
147,426,[426.0],79
148,427,[],172
149,429,[429.0],75
150,441,[441.0],77
151,444,[444.0],67
152,447,[447.0],36
153,448,[448.0],34
154,449,[449.0],19
155,450,[],173
156,452,[452.0],86
157,459,[459.0],5
158,460,[460.0],20
159,464,[464.0],17
160,465,[465.0],32
161,473,[473.0],7
162,474,[474.0],22
163,480,[480.0],9
164,481,[481.0],24
165,499,[499.0],11
166,500,[500.0],26
167,503,[503.0],30
168,504,[504.0],13
169,509,[509.0],15
