seq,road_id,edges,road_no
0,144,[144.0],178
1,11,[11.0],162
2,340,[340.0],46
3,14,[14.0],158
4,15,[15.0],92
5,16,[16.0],90
6,17,[17.0],94
7,18,[18.0],96
8,19,[19.0],98
9,20,[20.0],86
10,25,[25.0],133
11,26,[26.0],160
12,30,[30.0],159
13,31,[31.0],156
14,32,[32.0],88
15,36,[36.0],77
16,37,[37.0],75
17,38,[38.0],180
18,39,[39.0],2
19,51,[51.0],73
20,52,[52.0],102
21,53,[53.0],71
22,54,[54.0],100
23,55,[55.0],69
24,56,[56.0],65
25,57,[57.0],82
26,59,[59.0],63
27,60,[60.0],61
28,63,[63.0],80
29,68,[68.0],67
30,69,[69.0],84
31,72,[72.0],127
32,73,[73.0],154
33,81,[81.0],129
34,82,[82.0],164
35,85,[85.0],78
36,92,[92.0],131
37,93,[93.0],176
38,97,[97.0],157
39,98,[98.0],155
40,211,[211.0],108
41,99,[99.0],4
42,103,[103.0],104
43,111,[111.0],76
44,112,[112.0],125
45,123,[123.0],106
46,124,[124.0],123
47,125,[125.0],166
48,133,[133.0],153
49,134,[134.0],152
50,138,[138.0],1
51,139,[139.0],6
52,145,[145.0],59
53,146,[146.0],74
54,147,[147.0],72
55,148,[148.0],57
56,149,[149.0],70
57,151,[151.0],55
58,152,[152.0],68
59,153,[153.0],121
60,154,[154.0],150
61,160,[160.0],53
62,161,[161.0],110
63,162,[162.0],151
64,163,[163.0],168
65,165,[165.0],149
66,166,[166.0],8
67,175,[175.0],114
68,178,[178.0],51
69,179,[179.0],66
70,191,[191.0],81
71,192,[192.0],112
72,196,[196.0],49
73,197,[197.0],64
74,200,[200.0],62
75,209,[209.0],119
76,218,[218.0],117
77,219,[219.0],170
78,221,[221.0],147
79,222,[222.0],148
80,232,[232.0],145
81,233,[233.0],10
82,236,[236.0],79
83,237,[237.0],122
84,238,[238.0],83
85,239,[239.0],45
86,240,[240.0],60
87,241,[241.0],58
88,252,[252.0],47
89,253,[253.0],118
90,259,[259.0],87
91,260,[260.0],120
92,268,[268.0],35
93,269,[269.0],37
94,270,[270.0],33
95,271,[271.0],52
96,286,[286.0],54
97,287,[287.0],116
98,290,[290.0],135
99,294,[294.0],31
100,295,[295.0],50
101,298,[298.0],115
102,299,[299.0],146
103,303,[303.0],143
104,304,[304.0],172
105,305,[305.0],91
106,306,[306.0],48
107,309,[309.0],141
108,310,[310.0],12
109,311,[311.0],85
110,312,[312.0],56
111,313,[313.0],43
112,314,[314.0],174
113,317,[317.0],41
114,318,[318.0],136
115,321,[321.0],39
116,322,[322.0],126
117,324,[324.0],89
118,325,[325.0],124
119,330,[330.0],29
120,331,[331.0],27
121,332,[332.0],130
122,338,[338.0],113
123,343,[343.0],25
124,344,[344.0],44
125,346,[346.0],128
126,349,[349.0],139
127,350,[350.0],144
128,351,[351.0],103
129,352,[352.0],138
130,355,[355.0],14
131,361,[361.0],101
132,362,[362.0],3
133,363,[363.0],16
134,369,[369.0],99
135,370,[370.0],18
136,373,[373.0],23
137,374,[374.0],134
138,380,[380.0],21
139,381,[381.0],42
140,385,[385.0],111
141,388,[388.0],19
142,389,[389.0],40
143,390,[390.0],142
144,510,[510.0],28
145,391,[391.0],93
146,422,[422.0],109
147,426,[426.0],137
148,427,[427.0],140
149,429,[429.0],105
150,441,[441.0],107
151,444,[444.0],97
152,447,[447.0],38
153,448,[448.0],36
154,449,[449.0],95
155,450,[450.0],34
156,452,[452.0],132
157,459,[459.0],5
158,460,[460.0],20
159,464,[464.0],17
160,465,[465.0],32
161,473,[473.0],7
162,474,[474.0],22
163,480,[480.0],9
164,481,[481.0],24
165,499,[499.0],11
166,500,[500.0],26
167,503,[503.0],30
168,504,[504.0],13
169,509,[509.0],15
