seq,road_id,edges,road_no,partition
0,144,[np.float64(144.0)],2,0
1,11,[np.float64(11.0)],2,1
2,340,[np.float64(340.0)],4,2
3,14,[np.float64(14.0)],6,0
4,15,"[np.float64(15.0), np.float64(15.0)]",4,0
5,16,"[np.float64(16.0), np.float64(16.0)]",2,0
6,17,[np.float64(17.0)],8,0
7,18,"[np.float64(18.0), np.float64(18.0)]",14,0
8,19,[np.float64(19.0)],12,0
9,20,[np.float64(20.0)],2,2
10,25,[np.float64(25.0)],7,0
11,26,"[np.float64(26.0), np.float64(26.0)]",10,0
12,30,[np.float64(30.0)],7,0
13,31,[np.float64(31.0)],6,0
14,32,[np.float64(32.0)],2,0
15,36,[np.float64(36.0)],11,0
16,37,[np.float64(37.0)],11,0
17,38,[np.float64(38.0)],2,0
18,39,[np.float64(39.0)],2,0
19,51,[np.float64(51.0)],11,0
20,52,[np.float64(52.0)],8,0
21,53,[np.float64(53.0)],11,0
22,54,"[np.float64(54.0), np.float64(54.0)]",16,0
23,55,[np.float64(55.0)],11,0
24,56,"[np.float64(56.0), np.float64(56.0)]",3,2
25,57,[np.float64(57.0)],12,0
26,59,"[np.float64(59.0), np.float64(59.0)]",13,0
27,60,"[np.float64(60.0), np.float64(60.0)]",15,0
28,63,"[np.float64(63.0), np.float64(63.0)]",4,2
29,68,[np.float64(68.0)],3,2
30,69,"[np.float64(69.0), np.float64(69.0)]",2,2
31,72,[np.float64(72.0)],9,0
32,73,[np.float64(73.0)],2,1
33,81,[np.float64(81.0)],9,0
34,82,"[np.float64(82.0), np.float64(82.0)]",4,1
35,85,[np.float64(85.0)],8,0
36,92,[np.float64(92.0)],9,0
37,93,[np.float64(93.0)],6,0
38,97,[np.float64(97.0)],5,0
39,98,[np.float64(98.0)],5,0
40,211,[np.float64(211.0)],2,2
41,99,[np.float64(99.0)],2,0
42,103,[np.float64(103.0)],4,2
43,111,[np.float64(111.0)],8,0
44,112,[np.float64(112.0)],15,1
45,123,[np.float64(123.0)],2,2
46,124,[np.float64(124.0)],15,1
47,125,[np.float64(125.0)],2,1
48,133,"[np.float64(133.0), np.float64(133.0)]",15,1
49,134,[np.float64(134.0)],4,1
50,138,[np.float64(138.0)],3,0
51,139,[np.float64(139.0)],6,0
