seq,road_id,edges,road_no
0,144,[144.0],14
1,11,[11.0],58
2,340,[340.0],148
3,14,[14.0],12
4,15,[15.0],26
5,16,[16.0],24
6,17,[17.0],22
7,18,[18.0],100
8,19,[19.0],114
9,20,[20.0],112
10,25,[25.0],11
11,26,[26.0],30
12,30,[30.0],9
13,31,[31.0],10
14,32,[32.0],8
15,36,[36.0],7
16,37,[37.0],5
17,38,[38.0],6
18,39,[39.0],2
19,51,[51.0],15
20,52,[52.0],20
21,53,[53.0],31
22,54,[54.0],40
23,55,[55.0],77
24,56,[56.0],85
25,57,[57.0],70
26,59,[59.0],45
27,60,[60.0],29
28,63,[63.0],68
29,68,[68.0],87
30,69,[69.0],98
31,72,[72.0],33
32,73,[73.0],56
33,81,[81.0],19
34,82,[82.0],42
35,85,[85.0],18
36,92,[92.0],17
37,93,[93.0],28
38,97,[97.0],3
39,98,[98.0],1
40,211,[211.0],94
41,99,[99.0],4
42,103,[103.0],54
43,111,[111.0],16
44,112,[112.0],53
45,123,[123.0],96
46,124,[124.0],39
47,125,[125.0],66
48,133,[133.0],21
49,134,[134.0],46
50,138,[138.0],13
51,139,[139.0],32
52,145,[145.0],23
53,146,[146.0],36
54,147,[147.0],34
55,148,[148.0],27
56,149,[149.0],48
57,151,[151.0],25
58,152,[152.0],38
59,153,[153.0],51
60,154,[154.0],80
61,160,[160.0],43
62,161,[161.0],52
63,162,[162.0],37
64,163,[163.0],64
65,165,[165.0],35
66,166,[166.0],44
67,175,[175.0],62
68,178,[178.0],75
69,179,[179.0],92
70,191,[191.0],41
71,192,[192.0],50
72,196,[196.0],73
73,197,[197.0],90
74,200,[200.0],88
75,209,[209.0],83
76,218,[218.0],59
77,219,[219.0],110
78,221,[221.0],49
79,222,[222.0],78
80,232,[232.0],47
81,233,[233.0],60
82,236,[236.0],117
83,237,[237.0],130
84,238,[238.0],63
85,239,[239.0],61
86,240,[240.0],76
87,241,[241.0],74
88,252,[252.0],69
89,253,[253.0],82
90,259,[259.0],71
91,260,[260.0],86
92,268,[268.0],113
93,269,[269.0],115
94,270,[270.0],111
95,271,[271.0],132
96,286,[286.0],152
97,287,[287.0],128
98,290,[290.0],99
99,294,[294.0],109
100,295,[295.0],134
101,298,[298.0],81
102,299,[299.0],120
103,303,[303.0],57
104,304,[304.0],108
105,305,[305.0],139
106,306,[306.0],158
107,309,[309.0],55
108,310,[310.0],72
109,311,[311.0],97
110,312,[312.0],106
111,313,[313.0],95
112,314,[314.0],104
113,317,[317.0],67
114,318,[318.0],124
115,321,[321.0],65
116,322,[322.0],84
117,324,[324.0],135
118,325,[325.0],150
119,330,[330.0],137
120,331,[331.0],133
121,332,[332.0],160
122,338,[338.0],107
123,343,[343.0],131
124,344,[344.0],140
125,346,[346.0],146
126,349,[349.0],93
127,350,[350.0],126
128,351,[351.0],79
129,352,[352.0],118
130,355,[355.0],102
131,361,[361.0],91
132,362,[362.0],89
133,363,[363.0],116
134,369,[369.0],101
135,370,[370.0],122
136,373,[373.0],123
137,374,[374.0],138
138,380,[380.0],143
139,381,[381.0],156
140,385,[385.0],129
141,388,[388.0],159
142,389,[389.0],180
143,390,[390.0],144
144,510,[510.0],176
145,391,[391.0],153
146,422,[422.0],127
147,426,[426.0],105
148,427,[427.0],142
149,429,[429.0],103
150,441,[441.0],125
151,444,[444.0],121
152,447,[447.0],178
153,448,[448.0],174
154,449,[449.0],149
155,450,[450.0],172
156,452,[452.0],164
157,459,[459.0],119
158,460,[460.0],136
159,464,[464.0],157
160,465,[465.0],170
161,473,[473.0],141
162,474,[474.0],154
163,480,[480.0],145
164,481,[481.0],162
165,499,[499.0],147
166,500,[500.0],166
167,503,[503.0],168
168,504,[504.0],151
169,509,[509.0],155
