seq,road_id,edges,road_no
0,144,[144.0],14
1,11,[11.0],74
2,340,[340.0],112
3,14,[14.0],12
4,15,[15.0],44
5,16,[16.0],42
6,17,[17.0],66
7,18,[18.0],54
8,19,[19.0],52
9,20,[20.0],48
10,25,[25.0],11
11,26,[26.0],68
12,30,[30.0],9
13,31,[31.0],10
14,32,[32.0],8
15,36,[36.0],7
16,37,[37.0],5
17,38,[38.0],6
18,39,[39.0],2
19,51,[51.0],39
20,52,[52.0],62
21,53,[53.0],41
22,54,[54.0],56
23,55,[55.0],43
24,56,[56.0],45
25,57,[57.0],50
26,59,[59.0],49
27,60,[60.0],51
28,63,[63.0],58
29,68,[68.0],47
30,69,[69.0],46
31,72,[72.0],53
32,73,[73.0],72
33,81,[81.0],57
34,82,[82.0],70
35,85,[85.0],64
36,92,[92.0],55
37,93,[93.0],76
38,97,[97.0],3
39,98,[98.0],1
40,211,[211.0],134
41,99,[99.0],4
42,103,[103.0],60
43,111,[111.0],40
44,112,[112.0],37
45,123,[123.0],144
46,124,[124.0],35
47,125,[125.0],34
48,133,[133.0],33
49,134,[134.0],36
50,138,[138.0],31
51,139,[139.0],38
52,145,[145.0],29
53,146,[146.0],18
54,147,[147.0],16
55,148,[148.0],21
56,149,[149.0],20
57,151,[151.0],23
58,152,[152.0],30
59,153,[153.0],99
60,154,[154.0],114
61,160,[160.0],25
62,161,[161.0],28
63,162,[162.0],19
64,163,[163.0],120
65,165,[165.0],17
66,166,[166.0],26
67,175,[175.0],22
68,178,[178.0],113
69,179,[179.0],130
70,191,[191.0],27
71,192,[192.0],32
72,196,[196.0],115
73,197,[197.0],132
74,200,[200.0],142
75,209,[209.0],103
76,218,[218.0],107
77,219,[219.0],116
78,221,[221.0],111
79,222,[222.0],122
80,232,[232.0],77
81,233,[233.0],126
82,236,[236.0],121
83,237,[237.0],136
84,238,[238.0],15
85,239,[239.0],13
86,240,[240.0],24
87,241,[241.0],78
88,252,[252.0],79
89,253,[253.0],100
90,259,[259.0],81
91,260,[260.0],96
92,268,[268.0],83
93,269,[269.0],85
94,270,[270.0],119
95,271,[271.0],138
96,286,[286.0],98
97,287,[287.0],94
98,290,[290.0],101
99,294,[294.0],117
100,295,[295.0],140
101,298,[298.0],105
102,299,[299.0],118
103,303,[303.0],109
104,304,[304.0],124
105,305,[305.0],157
106,306,[306.0],176
107,309,[309.0],75
108,310,[310.0],128
109,311,[311.0],73
110,312,[312.0],80
111,313,[313.0],67
112,314,[314.0],82
113,317,[317.0],69
114,318,[318.0],90
115,321,[321.0],91
116,322,[322.0],102
117,324,[324.0],93
118,325,[325.0],110
119,330,[330.0],95
120,331,[331.0],97
121,332,[332.0],178
122,338,[338.0],123
123,343,[343.0],87
124,344,[344.0],104
125,346,[346.0],106
126,349,[349.0],65
127,350,[350.0],146
128,351,[351.0],63
129,352,[352.0],88
130,355,[355.0],84
131,361,[361.0],61
132,362,[362.0],59
133,363,[363.0],86
134,369,[369.0],71
135,370,[370.0],92
136,373,[373.0],139
137,374,[374.0],154
138,380,[380.0],89
139,381,[381.0],108
140,385,[385.0],127
141,388,[388.0],147
142,389,[389.0],164
143,390,[390.0],148
144,510,[510.0],180
145,391,[391.0],155
146,422,[422.0],125
147,426,[426.0],133
148,427,[427.0],150
149,429,[429.0],129
150,441,[441.0],131
151,444,[444.0],137
152,447,[447.0],174
153,448,[448.0],166
154,449,[449.0],153
155,450,[450.0],168
156,452,[452.0],162
157,459,[459.0],135
158,460,[460.0],152
159,464,[464.0],151
160,465,[465.0],170
161,473,[473.0],141
162,474,[474.0],156
163,480,[480.0],143
164,481,[481.0],160
165,499,[499.0],145
166,500,[500.0],158
167,503,[503.0],172
168,504,[504.0],149
169,509,[509.0],159
