seq,road_id,edges,road_no
0,144,[144.0],16
1,11,[11.0],66
2,340,[340.0],128
3,14,[14.0],12
4,15,[15.0],6
5,16,[16.0],8
6,17,[17.0],22
7,18,[18.0],34
8,19,[19.0],44
9,20,[20.0],76
10,25,[25.0],9
11,26,[26.0],38
12,30,[30.0],3
13,31,[31.0],24
14,32,[32.0],4
15,36,[36.0],1
16,37,[37.0],7
17,38,[38.0],2
18,39,[39.0],10
19,51,[51.0],13
20,52,[52.0],26
21,53,[53.0],15
22,54,[54.0],28
23,55,[55.0],21
24,56,[56.0],47
25,57,[57.0],40
26,59,[59.0],27
27,60,[60.0],29
28,63,[63.0],48
29,68,[68.0],61
30,69,[69.0],80
31,72,[72.0],39
32,73,[73.0],62
33,81,[81.0],25
34,82,[82.0],54
35,85,[85.0],32
36,92,[92.0],23
37,93,[93.0],36
38,97,[97.0],5
39,98,[98.0],17
40,211,[211.0],114
41,99,[99.0],14
42,103,[103.0],64
43,111,[111.0],46
44,112,[112.0],69
45,123,[123.0],90
46,124,[124.0],43
47,125,[125.0],68
48,133,[133.0],35
49,134,[134.0],58
50,138,[138.0],19
51,139,[139.0],42
52,145,[145.0],11
53,146,[146.0],20
54,147,[147.0],18
55,148,[148.0],33
56,149,[149.0],30
57,151,[151.0],49
58,152,[152.0],56
59,153,[153.0],51
60,154,[154.0],86
61,160,[160.0],73
62,161,[161.0],72
63,162,[162.0],41
64,163,[163.0],78
65,165,[165.0],31
66,166,[166.0],60
67,175,[175.0],50
68,178,[178.0],83
69,179,[179.0],102
70,191,[191.0],55
71,192,[192.0],70
72,196,[196.0],75
73,197,[197.0],74
74,200,[200.0],92
75,209,[209.0],89
76,218,[218.0],67
77,219,[219.0],116
78,221,[221.0],57
79,222,[222.0],104
80,232,[232.0],45
81,233,[233.0],88
82,236,[236.0],99
83,237,[237.0],120
84,238,[238.0],37
85,239,[239.0],53
86,240,[240.0],52
87,241,[241.0],82
88,252,[252.0],71
89,253,[253.0],96
90,259,[259.0],93
91,260,[260.0],100
92,268,[268.0],95
93,269,[269.0],109
94,270,[270.0],103
95,271,[271.0],130
96,286,[286.0],118
97,287,[287.0],94
98,290,[290.0],115
99,294,[294.0],113
100,295,[295.0],134
101,298,[298.0],87
102,299,[299.0],132
103,303,[303.0],77
104,304,[304.0],122
105,305,[305.0],123
106,306,[306.0],142
107,309,[309.0],65
108,310,[310.0],112
109,311,[311.0],59
110,312,[312.0],84
111,313,[313.0],63
112,314,[314.0],98
113,317,[317.0],79
114,318,[318.0],108
115,321,[321.0],91
116,322,[322.0],110
117,324,[324.0],111
118,325,[325.0],126
119,330,[330.0],117
120,331,[331.0],121
121,332,[332.0],154
122,338,[338.0],125
123,343,[343.0],105
124,344,[344.0],124
125,346,[346.0],136
126,349,[349.0],101
127,350,[350.0],140
128,351,[351.0],85
129,352,[352.0],144
130,355,[355.0],106
131,361,[361.0],81
132,362,[362.0],97
133,363,[363.0],146
134,369,[369.0],107
135,370,[370.0],138
136,373,[373.0],119
137,374,[374.0],152
138,380,[380.0],137
139,381,[381.0],156
140,385,[385.0],139
141,388,[388.0],145
142,389,[389.0],164
143,390,[390.0],148
144,510,[510.0],180
145,391,[391.0],157
146,422,[422.0],135
147,426,[426.0],127
148,427,[427.0],150
149,429,[429.0],129
150,441,[441.0],131
151,444,[444.0],141
152,447,[447.0],166
153,448,[448.0],168
154,449,[449.0],151
155,450,[450.0],170
156,452,[452.0],160
157,459,[459.0],133
158,460,[460.0],158
159,464,[464.0],153
160,465,[465.0],172
161,473,[473.0],143
162,474,[474.0],162
163,480,[480.0],147
164,481,[481.0],174
165,499,[499.0],149
166,500,[500.0],176
167,503,[503.0],178
168,504,[504.0],155
169,509,[509.0],159
